from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
61182955,61323200,0,0.095,2.23,0.21,tertiary,20 mph
61283119,61283126,0,0.104,2.91,0.25,primary,20 mph
61283119,61321743,0,0.135,1.17,0.25,residential,20 mph
61283119,61283322,0,0.043,2.37,0.09,residential,20 mph
61283126,61321144,0,0.103,2.37,0.23,primary,20 mph
61283126,61331850,0,0.134,1.12,0.25,residential,20 mph
61283126,61283315,0,0.043,1.0,0.08,residential,20 mph
61283218,61324632,0,0.452,1.72,0.91,residential,25 mph
61283218,61283269,0,0.833,2.79,1.95,secondary,20 mph
61283218,61317302,0,0.11,2.33,0.24,secondary,20 mph
61283269,61321312,0,0.268,3.22,0.66,primary,25 mph
61283269,6100432137,0,0.499,2.95,1.19,secondary,20 mph
61283269,61283218,0,0.833,2.93,1.98,secondary,20 mph
61283269,61323022,0,0.119,2.69,0.27,primary,25 mph
61283273,61283287,0,0.16,1.92,0.33,tertiary,20 mph
61283273,61283333,0,0.085,2.43,0.19,tertiary,20 mph
61283273,61283340,0,0.073,2.72,0.17,tertiary,20 mph
61283287,61321748,0,0.072,2.69,0.17,tertiary,15 mph
61283293,568218971,0,0.013,2.5,0.03,trunk,35 mph
61283293,61283311,0,0.064,2.11,0.14,residential,25 mph
61283300,61283287,0,0.075,3.3,0.19,tertiary,20 mph
61283305,61317713,0,0.068,1.64,0.14,residential,25 mph
61283305,61283345,0,0.073,2.52,0.17,residential,20 mph
61283311,61283293,0,0.064,2.65,0.15,residential,25 mph
61283311,61324632,0,0.204,1.0,0.37,residential,25 mph
61283315,61321146,0,0.039,1.0,0.07,residential,20 mph
61283315,61283126,0,0.043,1.84,0.09,residential,20 mph
61283315,61283322,0,0.102,1.55,0.2,residential,25 mph
61283322,61283305,0,0.048,1.39,0.09,residential,20 mph
61283322,61283315,0,0.102,2.36,0.23,residential,25 mph
61283333,61317333,0,0.313,3.98,0.84,trunk,25 mph
61283333,4978327603,0,0.083,2.54,0.19,trunk,25 mph
61283333,61283273,0,0.085,2.84,0.2,tertiary,20 mph
61283340,61327626,0,0.064,2.43,0.14,tertiary,20 mph
61283340,61283300,0,0.158,1.82,0.32,residential,20 mph
61283340,61283273,0,0.073,2.69,0.17,tertiary,20 mph
61283345,61283300,0,0.041,3.02,0.1,tertiary,20 mph
61283350,4406201720,0,0.196,3.05,0.47,secondary,25 mph
61283350,61283366,0,0.054,4.47,0.15,primary,25 mph
61283350,61318572,0,0.135,3.59,0.35,primary,25 mph
61283366,61323890,0,0.303,1.66,0.61,unclassified,unknown
61283366,61283350,0,0.054,2.7,0.12,primary,25 mph
61283366,6100432137,0,0.116,2.14,0.25,primary,25 mph
61283373,8602936356,0,0.015,3.83,0.04,primary,20 mph
61283373,2742713339,0,0.057,2.2,0.12,unclassified,unknown
