from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
61746218,3740962130,0,0.015,1.23,0.03,residential,unknown
61746218,11853713921,0,0.008,2.33,0.02,secondary,unknown
61746220,1468540687,0,0.009,2.17,0.02,tertiary,unknown
61746220,3740957813,0,0.047,3.37,0.12,secondary,unknown
61746221,3740957821,0,0.008,1.0,0.01,residential,unknown
61746221,10068956864,0,0.261,2.12,0.56,secondary,unknown
260729385,3452278578,0,0.029,1.0,0.05,residential,unknown
260729385,7265495340,0,0.02,2.72,0.05,secondary,unknown
260729388,3801688122,0,0.01,1.79,0.02,secondary_link,unknown
260729388,3452278572,0,0.336,2.33,0.74,secondary,unknown
260729389,11892969975,0,0.043,2.5,0.1,secondary,unknown
260729389,1274328906,0,0.073,1.95,0.15,residential,unknown
260739401,9200341881,0,0.045,1.93,0.09,residential,unknown
260739401,306582377,0,0.063,1.1,0.11,residential,unknown
260739401,7265565075,0,0.079,1.92,0.16,tertiary,unknown
260739401,306582104,0,0.263,2.43,0.59,tertiary,unknown
260739404,265525604,0,0.051,1.72,0.1,residential,unknown
260739404,306580384,0,0.033,2.69,0.08,tertiary,unknown
260739404,306580353,0,0.109,1.98,0.23,tertiary,unknown
263220551,301348513,0,0.209,2.11,0.45,residential,unknown
263220551,263226936,0,0.085,2.3,0.19,residential,unknown
263220551,305091142,0,0.063,1.64,0.12,residential,unknown
263220551,595766030,0,0.082,2.52,0.18,residential,unknown
263226812,301348097,0,0.056,2.65,0.13,residential,unknown
263226812,305091122,0,0.089,1.83,0.18,tertiary,unknown
263226812,306580384,0,0.241,1.93,0.5,tertiary,unknown
263226936,263220551,0,0.085,1.84,0.17,residential,unknown
263226936,308917133,0,0.073,1.55,0.14,residential,unknown
263226936,301348248,0,0.204,1.39,0.39,residential,unknown
263227126,305144478,0,0.042,2.36,0.09,residential,unknown
263227126,1469644231,0,0.062,3.09,0.15,secondary,unknown
263227171,303933201,0,0.054,1.0,0.1,residential,unknown
263227171,1469644253,0,0.069,2.84,0.16,tertiary,unknown
263227171,6504305288,0,0.047,2.43,0.11,tertiary,unknown
265524447,308917133,0,0.085,1.82,0.17,residential,unknown
265524447,301348097,0,0.05,1.69,0.1,residential,unknown
265524447,265524451,0,0.243,2.02,0.51,residential,unknown
265524451,265524447,0,0.243,2.05,0.51,residential,unknown
265524451,265525604,0,0.056,2.59,0.13,residential,unknown
265524451,301348248,0,0.113,1.84,0.23,residential,unknown
265525604,260739404,0,0.051,1.66,0.1,residential,unknown
265525604,301348097,0,0.258,1.14,0.47,residential,unknown
265525604,265524451,0,0.056,1.0,0.1,residential,unknown
265525611,305091419,0,0.051,2.08,0.11,residential,unknown
265525611,2228517315,0,0.116,3.2,0.28,tertiary,unknown
265525611,309593849,0,0.016,2.68,0.04,tertiary,unknown
265525615,305091421,0,0.055,1.28,0.1,residential,unknown
265525615,265525627,0,0.077,2.11,0.16,tertiary,unknown
265525615,308917326,0,0.021,3.54,0.05,tertiary,unknown
265525627,305091318,0,0.065,3.65,0.17,tertiary,unknown
265525627,265525615,0,0.077,3.62,0.2,tertiary,unknown
265525627,305091273,0,0.262,2.4,0.58,residential,unknown
301347812,7265565075,0,0.18,2.4,0.4,tertiary,unknown
301347812,306582120,0,0.017,2.53,0.04,tertiary,unknown
301347812,301348248,0,0.185,1.43,0.36,residential,unknown
301348097,265524447,0,0.05,1.44,0.1,residential,unknown
301348097,263226812,0,0.056,1.32,0.11,residential,unknown
301348097,265525604,0,0.258,1.43,0.5,residential,unknown
301348248,301347812,0,0.185,1.5,0.36,residential,unknown
301348248,263226936,0,0.204,2.88,0.48,residential,unknown
301348248,265524451,0,0.113,2.44,0.25,residential,unknown
301348393,306582120,0,0.069,1.95,0.14,tertiary,unknown
301348393,305091318,0,0.074,2.46,0.16,tertiary,unknown
301348393,305091142,0,0.304,1.62,0.6,residential,unknown
301348513,263220551,0,0.209,1.22,0.39,residential,unknown
301348513,305091088,0,0.078,1.28,0.15,residential,unknown
301348513,305091228,0,0.065,1.32,0.12,residential,unknown
301350890,3399067464,0,0.008,2.36,0.02,tertiary,unknown
301350890,363771007,0,0.055,2.78,0.13,tertiary,unknown
301350890,2228165471,0,0.122,3.32,0.3,secondary,unknown
303931703,7263010437,0,0.112,2.97,0.27,secondary,unknown
303931703,5395545375,0,0.046,2.22,0.1,residential,unknown
303931711,305091999,0,0.054,1.0,0.1,residential,unknown
303931711,308917419,0,0.113,2.56,0.26,tertiary,unknown
303931711,5431786084,0,0.027,2.57,0.06,tertiary,unknown
303933199,303933201,0,0.042,1.29,0.08,residential,unknown
303933199,6132065477,0,0.069,1.96,0.14,residential,unknown
303933199,305144362,0,0.054,1.0,0.1,residential,unknown
303933199,305144298,0,0.169,2.22,0.37,residential,unknown
303933201,263227171,0,0.054,1.16,0.1,residential,unknown
303933201,303933199,0,0.042,1.4,0.08,residential,unknown
303933201,305144597,0,0.128,2.16,0.27,residential,unknown
303933201,1469644263,0,0.066,2.63,0.15,residential,unknown
304771894,309593849,0,0.053,3.12,0.13,tertiary,unknown
304771894,305091341,0,0.149,2.25,0.32,primary,unknown
305091088,5960671739,0,0.085,1.88,0.18,residential,unknown
305091088,301348513,0,0.078,2.27,0.17,residential,unknown
305091088,595766030,0,0.21,1.49,0.41,residential,unknown
305091122,308917132,0,0.204,1.31,0.39,residential,unknown
305091122,1759977210,0,0.088,2.27,0.19,tertiary,unknown
305091122,263226812,0,0.089,2.2,0.19,tertiary,unknown
305091142,305091505,0,0.073,1.67,0.15,residential,unknown
305091142,263220551,0,0.063,2.2,0.14,residential,unknown
305091142,301348393,0,0.304,1.07,0.55,residential,unknown
305091228,301348513,0,0.065,1.72,0.13,residential,unknown
305091228,305091330,0,0.079,2.65,0.18,residential,unknown
305091228,305091576,0,0.054,1.73,0.11,residential,unknown
305091228,305091273,0,0.068,1.6,0.14,residential,unknown
305091273,305091228,0,0.068,1.66,0.14,residential,unknown
305091273,305091505,0,0.068,1.87,0.14,residential,unknown
305091273,265525627,0,0.262,3.01,0.63,residential,unknown
305091318,305091505,0,0.282,1.77,0.57,residential,unknown
305091318,301348393,0,0.074,2.0,0.15,tertiary,unknown
305091318,265525627,0,0.065,2.33,0.14,tertiary,unknown
305091330,305091228,0,0.079,1.93,0.17,residential,unknown
305091330,305091424,0,0.053,2.67,0.12,residential,unknown
305091330,305091418,0,0.199,2.31,0.44,residential,unknown
305091341,305091418,0,0.064,1.81,0.13,residential,unknown
305091341,503050641,0,0.086,3.92,0.23,primary,unknown
305091418,305091341,0,0.064,1.68,0.13,residential,unknown
305091418,305091330,0,0.199,2.59,0.45,residential,unknown
305091418,305091422,0,0.048,1.67,0.1,residential,unknown
305091419,305091422,0,0.049,2.24,0.11,residential,unknown
305091419,265525611,0,0.051,2.13,0.11,residential,unknown
305091419,305091421,0,0.193,1.76,0.39,residential,unknown
305091421,305091424,0,0.05,1.85,0.1,residential,unknown
305091421,265525615,0,0.055,2.31,0.12,residential,unknown
305091421,305091419,0,0.193,2.45,0.43,residential,unknown
305091422,305091419,0,0.049,2.2,0.11,residential,unknown
305091422,305091424,0,0.198,1.98,0.41,residential,unknown
305091422,305091418,0,0.048,2.12,0.1,residential,unknown
305091424,305091330,0,0.053,1.56,0.1,residential,unknown
305091424,305091421,0,0.05,1.61,0.1,residential,unknown
305091424,305091422,0,0.198,1.0,0.36,residential,unknown
305091505,305091273,0,0.068,1.16,0.12,residential,unknown
305091505,305091142,0,0.073,1.99,0.15,residential,unknown
305091505,305091318,0,0.282,1.0,0.51,residential,unknown
305091576,305091594,0,0.059,1.68,0.12,residential,unknown
305091576,305091228,0,0.054,2.32,0.12,residential,unknown
305091576,1070361777,0,0.229,1.0,0.41,residential,unknown
305091594,503050641,0,0.152,1.79,0.31,residential,unknown
305091594,305091576,0,0.059,2.51,0.13,residential,unknown
305091594,305091604,0,0.06,2.09,0.13,residential,unknown
305091596,503065534,0,0.155,1.62,0.31,residential,unknown
305091596,305091599,0,0.061,2.06,0.13,residential,unknown
305091596,5960671738,0,0.057,1.0,0.1,residential,unknown
305091599,305091600,0,0.154,1.0,0.28,residential,unknown
305091599,305091596,0,0.061,1.76,0.12,residential,unknown
305091599,305091604,0,0.05,1.33,0.09,residential,unknown
305091600,305091599,0,0.154,1.59,0.3,residential,unknown
305091600,503065534,0,0.055,3.93,0.15,primary,unknown
305091604,503050639,0,0.154,2.41,0.34,residential,unknown
305091604,305091599,0,0.05,1.41,0.1,residential,unknown
305091604,305091594,0,0.06,1.75,0.12,residential,unknown
305091854,305091963,0,0.137,2.46,0.31,primary,unknown
305091854,305091860,0,0.062,1.71,0.13,residential,unknown
305091860,583466958,0,0.131,1.35,0.25,residential,unknown
305091860,309592656,0,0.05,1.62,0.1,residential,unknown
305091860,305091854,0,0.062,2.06,0.13,residential,unknown
305091861,309592657,0,0.043,1.46,0.08,residential,unknown
305091861,305091913,0,0.104,1.58,0.2,residential,unknown
305091861,3801692786,0,0.059,2.99,0.14,residential,unknown
305091873,305092010,0,0.05,1.93,0.1,residential,unknown
305091873,306582104,0,0.028,2.9,0.07,tertiary,unknown
305091873,305091898,0,0.149,2.84,0.35,tertiary,unknown
305091884,305092000,0,0.054,2.35,0.12,residential,unknown
305091884,308917419,0,0.017,2.89,0.04,tertiary,unknown
305091884,305091898,0,0.077,2.6,0.18,tertiary,unknown
305091898,305092008,0,0.061,2.3,0.13,residential,unknown
305091898,305091873,0,0.149,2.54,0.34,tertiary,unknown
305091898,305091884,0,0.077,3.08,0.19,tertiary,unknown
305091899,3801692785,0,0.009,1.94,0.02,residential,unknown
305091899,260729389,0,0.041,3.05,0.1,secondary,unknown
305091899,1761893928,0,0.091,2.38,0.2,residential,unknown
305091913,305091861,0,0.104,1.59,0.2,residential,unknown
305091913,305091976,0,0.036,2.0,0.08,residential,unknown
305091913,305091961,0,0.038,1.95,0.08,residential,unknown
305091961,309592649,0,0.035,1.8,0.07,residential,unknown
305091961,305091913,0,0.038,1.98,0.08,residential,unknown
305091961,309592657,0,0.11,2.0,0.23,residential,unknown
305091963,583466958,0,0.065,1.16,0.12,residential,unknown
305091963,309592695,0,0.155,4.43,0.44,primary,unknown
305091972,305091999,0,0.044,1.41,0.08,residential,unknown
305091972,583466958,0,0.044,1.27,0.08,residential,unknown
305091972,305091976,0,0.129,2.28,0.28,residential,unknown
305091976,305091913,0,0.036,2.24,0.08,residential,unknown
305091976,305092000,0,0.047,3.0,0.11,residential,unknown
305091976,305091972,0,0.129,1.99,0.27,residential,unknown
305091999,303931711,0,0.054,1.8,0.11,residential,unknown
305091999,305091972,0,0.044,1.77,0.09,residential,unknown
305091999,305092000,0,0.129,1.98,0.27,residential,unknown
305092000,305091976,0,0.047,1.82,0.1,residential,unknown
305092000,305091884,0,0.054,1.57,0.11,residential,unknown
305092000,305091999,0,0.129,1.42,0.25,residential,unknown
305092001,305092003,0,0.033,1.4,0.06,residential,unknown
305092001,305092002,0,0.146,1.56,0.29,residential,unknown
305092001,3801692785,0,0.062,1.0,0.11,residential,unknown
305092002,305092006,0,0.033,2.29,0.07,residential,unknown
305092002,305092001,0,0.146,2.41,0.32,residential,unknown
305092002,6065186792,0,0.033,2.28,0.07,residential,unknown
305092002,3801700762,0,0.071,2.28,0.16,residential,unknown
305092003,305092001,0,0.033,1.53,0.07,residential,unknown
305092003,305092008,0,0.127,1.55,0.25,residential,unknown
305092003,305092012,0,0.039,2.83,0.09,residential,unknown
305092006,443224576,0,0.039,1.08,0.07,residential,unknown
305092006,305092002,0,0.033,1.7,0.07,residential,unknown
305092006,305092015,0,0.039,1.47,0.08,residential,unknown
305092008,305092003,0,0.127,2.11,0.27,residential,unknown
305092008,305091898,0,0.061,2.01,0.13,residential,unknown
305092008,305092011,0,0.036,2.05,0.08,residential,unknown
305092009,305092010,0,0.046,1.36,0.09,residential,unknown
305092009,305092013,0,0.034,2.78,0.08,residential,unknown
305092009,305092015,0,0.124,1.25,0.23,residential,unknown
305092010,305091873,0,0.05,1.8,0.1,residential,unknown
305092010,305092021,0,0.014,1.81,0.03,residential,unknown
305092010,305092009,0,0.046,2.5,0.1,residential,unknown
305092011,305092013,0,0.034,1.84,0.07,residential,unknown
305092011,305092008,0,0.036,2.22,0.08,residential,unknown
305092011,305092012,0,0.126,1.37,0.24,residential,unknown
305092012,305092014,0,0.032,1.12,0.06,residential,unknown
305092012,305092003,0,0.039,1.3,0.07,residential,unknown
305092012,305092011,0,0.126,2.33,0.28,residential,unknown
305092013,305092009,0,0.034,2.25,0.07,residential,unknown
305092013,305092011,0,0.034,2.07,0.07,residential,unknown
305092013,305092014,0,0.125,2.38,0.28,residential,unknown
305092014,305092015,0,0.035,2.13,0.08,residential,unknown
305092014,305092012,0,0.032,2.57,0.07,residential,unknown
305092014,305092013,0,0.125,1.24,0.23,residential,unknown
305092015,305092006,0,0.039,2.54,0.09,residential,unknown
305092015,305092014,0,0.035,1.79,0.07,residential,unknown
305092015,305092009,0,0.124,1.59,0.25,residential,unknown
305092021,305092010,0,0.014,2.28,0.03,residential,unknown
305092021,443224575,0,0.041,2.67,0.09,residential,unknown
